,trip_seconds
0,70980
1,48666
2,54900
3,53893
4,86340
5,59491
6,76406
7,49147
8,54235
9,62988
10,56099
11,79320
12,86104
13,52293
14,52097
15,54940
16,61380
17,55004
18,48412
19,50138
20,54614
21,80822
22,62170
23,71820
24,49076
25,55242
26,79860
27,52505
28,74520
29,53432
30,69480
31,55080
32,52500
33,67282
34,49860
35,48960
36,64200
37,52500
38,51149
39,55334
40,78998
41,53806
42,53379
43,57720
44,82689
45,59075
46,65376
47,53280
48,70117
49,83795
50,49167
51,86271
52,55614
53,53820
54,84840
55,64702
56,61320
57,73905
58,50496
59,59160
60,56520
61,54729
62,66480
63,57707
64,56216
65,50849
66,86248
67,63540
68,65520
69,71523
70,58895
71,85228
72,55128
73,52874
74,86292
75,59040
76,51000
77,68644
78,72752
79,53587
80,62160
81,86273
82,49417
83,53280
84,53100
85,66240
86,61260
87,48759
88,48922
89,86280
90,82380
91,80533
92,49822
93,58643
94,54960
95,57134
96,52680
97,61405
98,58080
99,55980
100,81497
101,84958
102,53162
103,86190
104,59740
105,61144
106,51163
107,52841
108,50170
109,58740
110,50580
111,49080
112,49403
113,86307
114,55107
115,48637
116,65049
117,54180
118,86027
119,52020
120,86367
121,75505
122,52260
123,86183
124,57557
125,77346
126,50520
127,57178
128,49655
129,54028
130,72900
131,49812
132,70249
133,65620
134,58500
135,48788
136,85725
137,81319
138,73740
139,50760
140,79542
141,50100
142,50220
143,62229
144,50415
145,75780
146,52200
147,54567
148,57120
149,51240
150,55200
151,52320
152,81171
153,86378
154,49920
155,55906
156,64747
157,85374
158,53981
159,86249
160,63818
161,73187
162,49620
163,84840
164,56058
165,85639
166,53759
167,48578
168,49560
169,57120
170,78486
171,49920
172,53580
173,79500
174,81860
175,86317
176,50968
177,60780
178,53288
179,59580
180,63905
181,86348
182,78060
183,62788
184,51372
185,62404
186,82320
187,55214
188,53940
189,81900
190,51600
191,61320
192,66344
193,65909
194,50878
195,57360
196,51269
197,51169
198,58176
199,50226
200,51060
201,64133
202,86340
203,52082
204,75480
205,72240
206,58659
207,61680
208,54597
209,78420
210,49740
211,52020
212,57005
213,52740
214,50280
215,81626
216,55920
217,78686
218,86374
219,49935
220,52680
221,56370
222,50520
223,75343
224,64362
225,48799
226,57300
227,52474
228,64605
229,49485
230,51902
231,51360
232,49620
233,78175
234,60600
235,57631
236,53100
237,48600
238,76085
239,52372
240,56260
241,72678
242,59859
243,72780
244,73140
245,56020
246,56669
247,60549
248,75780
249,86268
250,48833
251,85010
252,52320
253,62040
254,67037
255,52848
256,80575
257,76200
258,53040
259,62520
260,61560
261,71340
262,54423
263,70268
264,57110
265,53082
266,82934
267,50669
268,63300
269,63864
270,58980
271,64200
272,72892
273,77511
274,55020
275,48810
276,50340
277,67272
278,51960
279,86280
280,80481
281,52378
282,77395
283,62473
284,51420
285,62160
286,86399
287,48840
288,52615
289,58860
290,55708
291,48997
292,72919
293,56880
294,62973
295,61380
296,86325
297,79215
298,78980
299,48975
300,52702
301,52260
302,83273
303,75061
304,86333
305,50386
306,55375
307,48501
308,50359
309,52239
310,71099
311,53482
312,60900
313,64559
314,48407
315,53642
316,86340
317,69136
318,49080
319,52929
320,86280
321,53155
322,59205
323,65691
324,58084
325,81780
326,60120
327,65160
328,50787
329,52140
330,69420
331,83364
332,81346
333,70140
334,53400
335,58320
336,86366
337,68751
338,66117
339,72900
340,53040
341,60900
342,57360
343,49823
344,66396
345,51985
346,58680
347,54991
348,74731
349,82860
350,76354
351,48720
352,68940
353,76499
354,84000
355,49587
356,71373
357,60000
358,61260
359,66480
360,54324
361,74257
362,54600
363,86303
364,86365
365,59316
366,54720
367,54052
368,83400
369,52678
370,58355
371,76983
372,61620
373,64860
374,74362
375,75180
376,67243
377,49800
378,69997
379,74220
380,61200
381,50040
382,53928
383,64080
384,50520
385,80846
386,56760
387,70708
388,85680
389,75717
390,86340
391,74757
392,60106
393,59220
394,67187
395,51008
396,66148
397,62340
398,54180
399,57000
400,66119
401,61001
402,58166
403,64922
404,61639
405,49764
406,58793
407,59100
408,71220
409,57413
410,75675
411,65160
412,58900
413,56640
414,54926
415,61113
416,60005
417,57493
418,52140
419,61807
420,86340
421,49794
422,68700
423,66932
424,57117
425,55617
426,86283
427,58140
428,54780
429,52500
430,57960
431,66795
432,57900
433,70140
434,57900
435,85342
436,56148
437,61680
438,49539
439,48540
440,80700
441,57747
442,65160
443,58967
444,57176
445,54480
446,62762
447,52135
448,69420
449,60569
450,64871
451,72600
452,67428
453,57960
454,61620
455,49620
456,50400
457,50741
458,77147
459,70268
460,52860
461,68014
462,86358
463,55864
464,81802
465,55740
466,66168
467,48900
468,73741
469,51300
470,78840
471,61269
472,86364
473,78814
474,86340
475,64740
476,67380
477,50940
478,49155
479,58080
480,53760
481,55020
482,57317
483,86340
484,80340
485,59174
486,51599
487,78780
488,58901
489,86370
490,55800
491,59520
492,56051
493,83040
494,49560
495,77285
496,72420
497,72641
498,49500
499,86340
500,55320
501,52195
502,86340
503,58020
504,58620
505,53018
506,73080
507,78364
508,83582
509,50958
510,70157
511,63780
512,60709
513,64012
514,68786
515,48600
516,65001
517,48768
518,54300
519,86370
520,75612
521,61517
522,68622
523,57840
524,60378
525,66780
526,52572
527,51435
528,64764
529,49680
530,64386
531,86334
532,77829
533,72480
534,60900
535,59160
536,54480
537,86257
538,77522
539,53040
540,62880
541,70498
542,53640
543,64851
544,50820
545,55511
546,74225
547,70611
548,67680
549,67038
550,73860
551,50700
552,86340
553,57683
554,56579
555,61686
556,86313
557,53880
558,59700
559,61254
560,55859
561,81960
562,48346
563,72900
564,85920
565,56520
566,76690
567,54215
568,70080
569,54660
570,56880
571,61397
572,64815
573,83640
574,58920
575,75709
576,54062
577,86340
578,59332
579,64179
580,64140
581,65057
582,57677
583,49162
584,67200
585,59305
586,49980
587,59346
588,54024
589,52240
590,50110
591,67012
592,48353
593,48300
594,48900
595,49440
596,54840
597,58485
598,70698
599,61500
600,53880
601,73635
602,51615
603,54240
604,56460
605,54924
606,62100
607,56498
608,72701
609,69720
610,56240
611,49560
612,49229
613,54234
614,62995
615,60120
616,58313
617,86307
618,66660
619,67248
620,65606
621,86237
622,60381
623,54720
624,54076
625,61609
626,50640
627,82140
628,86340
629,64440
630,53460
631,73661
632,58793
633,50216
634,55085
635,63409
636,63134
637,48480
638,52980
639,69276
640,54720
641,60540
642,48504
643,51240
644,56520
645,85082
646,65492
647,54300
648,51318
649,51900
650,86253
651,48794
652,51720
653,54091
654,53280
655,84300
656,58600
657,54660
658,86174
659,49434
660,74160
661,86338
662,58260
663,53162
664,51208
665,64260
666,54840
667,65160
668,56201
669,86258
670,85260
671,61080
672,68760
673,54840
674,49200
675,57615
676,57224
677,78468
678,54000
679,70800
680,49200
681,69639
682,50936
683,86006
684,84780
685,74580
686,66420
687,68841
688,85890
689,54840
690,56040
691,66479
692,62106
693,56580
694,84896
695,49680
696,65520
697,57660
698,53520
699,64301
700,57360
701,71954
702,84496
703,50460
704,57620
705,66480
706,57848
707,58848
708,49920
709,86398
710,59280
711,53760
712,63604
713,59935
714,71931
715,55440
716,78445
717,53520
718,51750
719,53160
720,53427
721,48993
722,55800
723,54960
724,82848
725,61620
726,86209
727,52800
728,60210
729,61786
730,53282
731,51900
732,54530
733,57910
734,57997
735,82159
736,60444
737,49920
738,86300
739,65040
740,58800
741,48705
742,72461
743,76856
744,82786
745,58983
746,86300
747,86399
748,52606
749,55778
750,49920
751,59160
752,68257
753,50700
754,50304
755,59633
756,54420
757,50315
758,54300
759,48320
760,69840
761,57300
762,55980
763,69410
764,85500
765,85680
766,84720
767,50760
768,72240
769,58051
770,60150
771,53880
772,49273
773,63415
774,56927
775,58270
776,51000
777,55800
778,50369
779,49603
780,77405
781,58721
782,63300
783,84220
784,62462
785,60482
786,52020
787,59040
788,69960
789,58657
790,58594
791,82800
792,56149
793,57730
794,63641
795,54325
796,55383
797,56460
798,53700
799,52920
800,63180
801,57257
802,80716
803,55200
804,64562
805,57323
806,85667
807,86129
808,71280
809,84420
810,66806
811,65917
812,52880
813,65469
814,58980
815,51553
816,58526
